DATE,CPHPLA01EZM661N
1996-01-01,75.1
1996-02-01,75.42
1996-03-01,75.69
1996-04-01,75.72
1996-05-01,75.88
1996-06-01,76.0
1996-07-01,76.04
1996-08-01,76.12
1996-09-01,76.25
1996-10-01,76.31
1996-11-01,76.26
1996-12-01,76.42
1997-01-01,76.39
1997-02-01,76.69
1997-03-01,76.94
1997-04-01,76.89
1997-05-01,77.07
1997-06-01,77.1
1997-07-01,77.19
1997-08-01,77.31
1997-09-01,77.4
1997-10-01,77.4
1997-11-01,77.47
1997-12-01,77.59
1998-01-01,77.43
1998-02-01,77.78
1998-03-01,77.98
1998-04-01,78.1
1998-05-01,78.24
1998-06-01,78.34
1998-07-01,78.39
1998-08-01,78.55
1998-09-01,78.63
1998-10-01,78.64
1998-11-01,78.65
1998-12-01,78.73
1999-01-01,78.49
1999-02-01,78.78
1999-03-01,79.01
1999-04-01,79.04
1999-05-01,79.14
1999-06-01,79.2
1999-07-01,79.3
1999-08-01,79.42
1999-09-01,79.4
1999-10-01,79.4
1999-11-01,79.47
1999-12-01,79.59
2000-01-01,79.35
2000-02-01,79.55
2000-03-01,79.72
2000-04-01,79.86
2000-05-01,79.83
2000-06-01,79.96
2000-07-01,80.02
2000-08-01,80.17
2000-09-01,80.21
2000-10-01,80.3
2000-11-01,80.33
2000-12-01,80.64
2001-01-01,80.18
2001-02-01,80.29
2001-03-01,80.73
2001-04-01,81.12
2001-05-01,81.21
2001-06-01,81.36
2001-07-01,81.33
2001-08-01,81.41
2001-09-01,81.62
2001-10-01,81.88
2001-11-01,81.97
2001-12-01,82.48
2002-01-01,82.09
2002-02-01,82.3
2002-03-01,82.79
2002-04-01,83.05
2002-05-01,83.28
2002-06-01,83.37
2002-07-01,83.3
2002-08-01,83.38
2002-09-01,83.57
2002-10-01,83.77
2002-11-01,83.85
2002-12-01,84.29
2003-01-01,83.64
2003-02-01,83.85
2003-03-01,84.34
2003-04-01,84.7
2003-05-01,84.8
2003-06-01,84.88
2003-07-01,84.68
2003-08-01,84.8
2003-09-01,85.07
2003-10-01,85.25
2003-11-01,85.27
2003-12-01,85.65
2004-01-01,85.09
2004-02-01,85.4
2004-03-01,85.84
2004-04-01,86.27
2004-05-01,86.36
2004-06-01,86.5
2004-07-01,86.26
2004-08-01,86.45
2004-09-01,86.65
2004-10-01,86.84
2004-11-01,86.88
2004-12-01,87.28
2005-01-01,86.44
2005-02-01,86.64
2005-03-01,87.2
2005-04-01,87.47
2005-05-01,87.72
2005-06-01,87.7
2005-07-01,87.38
2005-08-01,87.55
2005-09-01,87.78
2005-10-01,88.04
2005-11-01,88.07
2005-12-01,88.46
2006-01-01,87.51
2006-02-01,87.73
2006-03-01,88.35
2006-04-01,88.79
2006-05-01,88.91
2006-06-01,88.98
2006-07-01,88.65
2006-08-01,88.75
2006-09-01,89.09
2006-10-01,89.38
2006-11-01,89.41
2006-12-01,89.83
2007-01-01,89.02
2007-02-01,89.37
2007-03-01,90.0
2007-04-01,90.48
2007-05-01,90.64
2007-06-01,90.67
2007-07-01,90.32
2007-08-01,90.46
2007-09-01,90.75
2007-10-01,91.06
2007-11-01,91.13
2007-12-01,91.55
2008-01-01,90.59
2008-02-01,90.97
2008-03-01,91.83
2008-04-01,92.0
2008-05-01,92.24
2008-06-01,92.33
2008-07-01,91.9
2008-08-01,92.21
2008-09-01,92.49
2008-10-01,92.85
2008-11-01,92.89
2008-12-01,93.28
2009-01-01,92.07
2009-02-01,92.52
2009-03-01,93.19
2009-04-01,93.64
2009-05-01,93.67
2009-06-01,93.63
2009-07-01,93.1
2009-08-01,93.42
2009-09-01,93.61
2009-10-01,93.93
2009-11-01,93.85
2009-12-01,94.29
2010-01-01,92.79
2010-02-01,93.2
2010-03-01,94.23
2010-04-01,94.43
2010-05-01,94.53
2010-06-01,94.55
2010-07-01,93.99
2010-08-01,94.31
2010-09-01,94.7
2010-10-01,94.98
2010-11-01,94.89
2010-12-01,95.27
2011-01-01,93.77
2011-02-01,94.1
2011-03-01,95.45
2011-04-01,95.94
2011-05-01,95.92
2011-06-01,96.0
2011-07-01,95.12
2011-08-01,95.43
2011-09-01,96.23
2011-10-01,96.49
2011-11-01,96.4
2011-12-01,96.82
2012-01-01,95.2
2012-02-01,95.53
2012-03-01,96.98
2012-04-01,97.44
2012-05-01,97.43
2012-06-01,97.5
2012-07-01,96.73
2012-08-01,96.89
2012-09-01,97.68
2012-10-01,97.91
2012-11-01,97.76
2012-12-01,98.26
2013-01-01,96.47
2013-02-01,96.76
2013-03-01,98.42
2013-04-01,98.39
2013-05-01,98.59
2013-06-01,98.63
2013-07-01,97.78
2013-08-01,97.96
2013-09-01,98.67
2013-10-01,98.72
2013-11-01,98.69
2013-12-01,98.96
2014-01-01,97.25
2014-02-01,97.71
2014-03-01,99.13
2014-04-01,99.38
2014-05-01,99.25
2014-06-01,99.38
2014-07-01,98.55
2014-08-01,98.87
2014-09-01,99.42
2014-10-01,99.42
2014-11-01,99.35
2014-12-01,99.7
2015-01-01,97.87
2015-02-01,98.38
2015-03-01,99.77
2015-04-01,100.3
2015-05-01,100.52
2015-06-01,100.57
2015-07-01,99.93
2015-08-01,100.24
2015-09-01,100.71
2015-10-01,100.87
2015-11-01,100.25
2015-12-01,100.61
2016-01-01,98.84
2016-02-01,99.24
2016-03-01,100.8
2016-04-01,101.02
2016-05-01,101.32
2016-06-01,101.37
2016-07-01,100.8
2016-08-01,101.04
2016-09-01,101.51
2016-10-01,101.62
2016-11-01,101.04
2016-12-01,101.47
2017-01-01,99.7
2017-02-01,100.07
2017-03-01,101.5
2017-04-01,102.29
2017-05-01,102.25
2017-06-01,102.57
2017-07-01,102.02
2017-08-01,102.28
2017-09-01,102.68
2017-10-01,102.51
2017-11-01,101.97
2017-12-01,102.4
2018-01-01,100.67
2018-02-01,101.07
2018-03-01,102.63
2018-04-01,103.04
2018-05-01,103.51
2018-06-01,103.56
2018-07-01,103.18
2018-08-01,103.34
2018-09-01,103.66
2018-10-01,103.72
2018-11-01,102.92
2018-12-01,103.35
2019-01-01,101.8
2019-02-01,102.07
