Date,Percent per annum
11.02.21,-0.686214
10.02.21,-0.684624
09.02.21,-0.682457
08.02.21,-0.683788
05.02.21,-0.679098
04.02.21,-0.681872
03.02.21,-0.68349
02.02.21,-0.689971
01.02.21,-0.693484
29.01.21,-0.698633
28.01.21,-0.702609
27.01.21,-0.700251
26.01.21,-0.691308
25.01.21,-0.689736
22.01.21,-0.682232
21.01.21,-0.683238
20.01.21,-0.685584
19.01.21,-0.683599
18.01.21,-0.687443
15.01.21,-0.688459
14.01.21,-0.698254
13.01.21,-0.687661
12.01.21,-0.683075
11.01.21,-0.688109
08.01.21,-0.701726
07.01.21,-0.696786
06.01.21,-0.688591
05.01.21,-0.693923
04.01.21,-0.690398
30.12.20,-0.7606
29.12.20,-0.755971
28.12.20,-0.763813
23.12.20,-0.7434
22.12.20,-0.753653
21.12.20,-0.75438
18.12.20,-0.746473
17.12.20,-0.756188
16.12.20,-0.748875
15.12.20,-0.766986
14.12.20,-0.767057
11.12.20,-0.772006
10.12.20,-0.761162
09.12.20,-0.764965
08.12.20,-0.756027
07.12.20,-0.749759
04.12.20,-0.735887
03.12.20,-0.728194
02.12.20,-0.717922
01.12.20,-0.715361
30.11.20,-0.723741
27.11.20,-0.729444
26.11.20,-0.730278
25.11.20,-0.724757
24.11.20,-0.728928
23.11.20,-0.724381
20.11.20,-0.721267
19.11.20,-0.703333
18.11.20,-0.710847
17.11.20,-0.707192
16.11.20,-0.707224
13.11.20,-0.717697
12.11.20,-0.710099
11.11.20,-0.707864
10.11.20,-0.705737
09.11.20,-0.712089
06.11.20,-0.749907
05.11.20,-0.754039
04.11.20,-0.75813
03.11.20,-0.75257
02.11.20,-0.758203
30.10.20,-0.75225
29.10.20,-0.754353
28.10.20,-0.753066
27.10.20,-0.738993
26.10.20,-0.727765
23.10.20,-0.726137
22.10.20,-0.736328
21.10.20,-0.733268
20.10.20,-0.73868
19.10.20,-0.734581
16.10.20,-0.727239
15.10.20,-0.721844
14.10.20,-0.70345
13.10.20,-0.696775
12.10.20,-0.679494
09.10.20,-0.675873
08.10.20,-0.668003
07.10.20,-0.658266
06.10.20,-0.662001
05.10.20,-0.657743
02.10.20,-0.656146
01.10.20,-0.644379
30.09.20,-0.644058
29.09.20,-0.640088
28.09.20,-0.645286
25.09.20,-0.65456
24.09.20,-0.656258
23.09.20,-0.646956
22.09.20,-0.647503
21.09.20,-0.6483
18.09.20,-0.640469
17.09.20,-0.642322
16.09.20,-0.637612
15.09.20,-0.635135
14.09.20,-0.642857
11.09.20,-0.63942
10.09.20,-0.638079
09.09.20,-0.641193
08.09.20,-0.645214
07.09.20,-0.641789
04.09.20,-0.646476
03.09.20,-0.648798
02.09.20,-0.640062
01.09.20,-0.631165
31.08.20,-0.624605
28.08.20,-0.63748
27.08.20,-0.621176
26.08.20,-0.618211
25.08.20,-0.618386
24.08.20,-0.633759
21.08.20,-0.643685
20.08.20,-0.642358
19.08.20,-0.633329
18.08.20,-0.628751
17.08.20,-0.623531
14.08.20,-0.624618
13.08.20,-0.621009
12.08.20,-0.633521
11.08.20,-0.635064
10.08.20,-0.643715
07.08.20,-0.643788
06.08.20,-0.647837
05.08.20,-0.64859
04.08.20,-0.654177
03.08.20,-0.649244
31.07.20,-0.648684
30.07.20,-0.647808
29.07.20,-0.636615
28.07.20,-0.637567
27.07.20,-0.63392
24.07.20,-0.629561
23.07.20,-0.632698
22.07.20,-0.641228
21.07.20,-0.625154
20.07.20,-0.632177
17.07.20,-0.633852
16.07.20,-0.635178
15.07.20,-0.628488
14.07.20,-0.631899
13.07.20,-0.630621
10.07.20,-0.64445
